query,anim_color,can_fly
cardinal,red,yes
bear,brown,no
seagull,white,yes
orca,black,no
flamingo,pink,yes
peacock,blue,yes
penguin,black,no
lion,golden,no
elephant,gray,no
crow,black,yes
bluejay,blue,yes
goldfinch,yellow,yes
owl,brown,yes
parrot,green,yes
swan,white,yes
hummingbird,green,yes
bat,black,yes
tiger,orange,no
cheetah,yellow,no
giraffe,tan,no
zebra,black,no
dolphin,gray,no
shark,gray,no
lobster,red,no
crab,red,no
octopus,purple,no
squid,white,no
jellyfish,blue,no
whale,blue,no
seal,gray,no
walrus,brown,no
otter,brown,no
beaver,brown,no
moose,brown,no
deer,brown,no
raccoon,gray,no
squirrel,gray,no
chipmunk,brown,no
rabbit,white,no
mouse,gray,no
rat,gray,no
hamster,brown,no
guinea pig,white,no
ferret,brown,no
goat,white,no
sheep,white,no
cow,black,no
horse,brown,no
donkey,gray,no
camel,brown,no
llama,white,no
alpaca,white,no
goose,white,yes
duck,green,yes
turkey,brown,yes
chicken,white,yes
rooster,red,yes
pigeon,gray,yes
sparrow,brown,yes
finch,yellow,yes
canary,yellow,yes
woodpecker,red,yes
heron,gray,yes
egret,white,yes
hawk,brown,yes
eagle,brown,yes
falcon,gray,yes
vulture,brown,yes
albatross,white,yes
stork,white,yes
pelican,white,yes
kingfisher,blue,yes
macaw,red,yes
cockatoo,white,yes
lovebird,green,yes
budgerigar,green,yes
puffin,black,yes
kiwi,brown,no
emu,brown,no
ostrich,brown,no
cassowary,black,no
platypus,brown,no
koala,gray,no
kangaroo,brown,no
wombat,brown,no
sloth,brown,no
armadillo,gray,no
anteater,brown,no
tapir,black,no
hippopotamus,gray,no
crocodile,green,no
alligator,green,no
iguana,green,no
chameleon,green,no
gecko,green,no
komodo dragon,brown,no
tortoise,green,no
sea turtle,green,no
aardvark,brown,no
baboon,brown,no
bison,brown,no
buffalo,brown,no
yak,brown,no
ox,brown,no
antelope,brown,no
springbok,brown,no
gazelle,brown,no
eland,brown,no
okapi,brown,no
porcupine,brown,no
hedgehog,brown,no
mole,gray,no
shrew,brown,no
vole,brown,no
capybara,brown,no
marmot,brown,no
prairie dog,brown,no
manatee,gray,no
dugong,gray,no
narwhal,gray,no
beluga,white,no
swordfish,blue,no
marlin,blue,no
tuna,blue,no
salmon,silver,no
trout,silver,no
bass,green,no
catfish,gray,no
pike,green,no
carp,orange,no
goldfish,orange,no
betta,blue,no
guppy,blue,no
manta ray,black,no
stingray,gray,no
sea lion,brown,no
fur seal,brown,no
sea otter,brown,no
fox,red,no
arctic fox,white,no
wolf,gray,no
coyote,brown,no
lynx,brown,no
bobcat,brown,no
ocelot,yellow,no
leopard,yellow,no
jaguar,yellow,no
panther,black,no
snow leopard,white,no
cougar,tan,no
puma,tan,no
hyena,brown,no
meerkat,brown,no
mongoose,brown,no
skunk,black,no
badger,gray,no
wolverine,brown,no
weasel,brown,no
pangolin,brown,no
aardwolf,yellow,no
gazebo bird,black,yes
bee,yellow,yes
bumblebee,yellow,yes
wasp,yellow,yes
hornet,yellow,yes
dragonfly,blue,yes
damselfly,blue,yes
butterfly,orange,yes
monarch butterfly,orange,yes
moth,brown,yes
firefly,yellow,yes
grasshopper,green,yes
cricket,green,yes
locust,green,yes
mantis,green,yes
ladybug,red,yes
beetle,green,yes
stag beetle,black,yes
cockroach,brown,yes
fly,black,yes
mosquito,gray,yes
gnat,black,yes
housefly,gray,yes
mayfly,brown,yes
cicada,green,yes
leafcutter ant,red,yes
termite,white,yes
silverfish,gray,yes
earwig,brown,yes
thrip,brown,yes
lacewing,green,yes
hoverfly,yellow,yes
cockatiel,white,yes
