food,food_color,shape
lime,green,round
lemon,yellow,round
cucumber,green,oblong
blackberry,black,round
apple,red,round
banana,yellow,curved
orange,orange,round
blueberry,blue,round
strawberry,red,conical
grape,purple,round
pear,green,teardrop
mango,orange,oval
watermelon,green,oval
pumpkin,orange,round
tomato,red,round
kiwi,brown,oval
plum,purple,round
peach,orange,round
cherry,red,round
apricot,orange,round
papaya,orange,oblong
pomegranate,red,round
fig,purple,oval
cantaloupe,orange,round
honeydew,green,round
cranberry,red,round
raspberry,red,round
passionfruit,purple,round
persimmon,orange,round
dragonfruit,pink,oval
guava,green,round
starfruit,yellow,star
jackfruit,green,oval
lychee,red,round
mulberry,black,oblong
currant,red,round
boysenberry,purple,round
durian,green,spiky
sapodilla,brown,oval
tamarind,brown,pod
ackee,red,pear
acorn squash,green,acorn
butternut squash,beige,oblong
zucchini,green,oblong
eggplant,purple,oblong
carrot,orange,conical
beetroot,red,round
radish,red,round
turnip,purple,round
parsnip,white,conical
sweet potato,orange,oblong
potato,brown,round
yam,orange,oblong
ginger,brown,irregular
garlic,white,bulb
onion,yellow,round
shallot,purple,oval
leek,green,cylindrical
celery,green,stalk
fennel,white,bulb
broccoli,green,tree
cauliflower,white,round
brussels sprout,green,round
asparagus,green,spear
spinach,green,leafy
kale,green,leafy
lettuce,green,leafy
cabbage,green,round
bok choy,green,leafy
chard,green,leafy
collard greens,green,leafy
arugula,green,leafy
mustard greens,green,leafy
dandelion greens,green,leafy
watercress,green,leafy
artichoke,green,round
okra,green,elongated
peas,green,round
snow pea,green,flat
green bean,green,elongated
kidney bean,red,oval
black bean,black,oval
lentil,brown,round
chickpea,beige,round
edamame,green,oval
corn,yellow,cob-shaped
bell pepper,red,blocky
chili pepper,red,elongated
jalapeño,green,elongated
habanero,orange,round
serrano,green,elongated
scotch bonnet,red,round
tomatillo,green,round
rhubarb,red,stalk-shaped
kohlrabi,green,round
cassava,brown,oblong
plantain,green,curved
seaweed,green,leafy
olive,green,oval
date,brown,oval
coconut,brown,round
