index,instruction
0,"For any animal provided, name the color most commonly linked with it."
1,"When given an animal, state the color it is usually associated with."
2,"Identify the typical color people think of when they hear the given animal."
3,"Given an animal, indicate its commonly recognized color."
4,"Provide the color most often connected to the mentioned animal."
5,"For the animal specified, mention its most characteristic color."
6,"When an animal is supplied, respond with its most typical color."
7,"Tell the usual color associated with the animal you are given."
8,"Determine the color most typically attributed to the provided animal."
9,"State the standard color linked with whatever animal is named."
10,"When supplied with an animal, list the color most often related to it."
11,"For the named animal, specify its most iconic color."
12,"Indicate the primary color that is commonly tied to the given animal."
13,"Tell which color is generally associated with the animal in question."
14,"Identify the commonly perceived color of the animal provided."
15,"Given an animal, supply the color it is best known for."
16,"Mention the usual color that people associate with the stated animal."
17,"For the animal mentioned, say what color is typically connected to it."
18,"Express the color normally linked to the provided animal."
19,"When an animal is presented, report its most representative color."
20,"Identify the color people usually imagine for the named animal."
21,"Specify the color most strongly associated with the given animal."
22,"For any named animal, give its most typical color."
23,"Tell the color most commonly related to the animal provided."
24,"Indicate the usual hue connected with the animal mentioned."
25,"When given an animal, describe its most familiar color."
26,"Provide the color most widely recognized for the listed animal."
27,"State the color that best represents the named animal."
28,"For the animal you are given, respond with its typical color."
29,"Identify the most common color linked to the animal in question."
30,"When supplied an animal, indicate the color generally tied to it."
31,"Tell the color most people think of when the given animal is mentioned."
32,"Provide the characteristic color associated with the stated animal."
33,"For the specific animal provided, specify its common color."
34,"Indicate the habitual color associated with the given animal."
35,"Name the color customarily linked to the mentioned animal."
36,"Let me know the typical color that corresponds to the provided animal."
37,"State the color that is most emblematic of the animal in question."
38,"Given an animal, identify the color usually related to it."
39,"Tell what color is commonly connected with the named animal."
40,"Provide the traditional color associated with the specified animal."
41,"For any animal listed, give the most common color people link to it."
42,"Report the color most strongly connected with the animal mentioned."
43,"Indicate the standard hue associated with the provided animal."
44,"Identify the usual coloration attributed to the named animal."
45,"Name the color that is traditionally tied to the given animal."
46,"When an animal is cited, state its primary associated color."
47,"Provide the default color people associate with the stated animal."
48,"For the animal named, mention the most recognizable color."
49,"Indicate the typical shade connected with the provided animal."
50,"Tell which color is normally linked with the named animal."
51,"Report the usual color that corresponds to the provided animal."
52,"When presented an animal, give the color most often attributed to it."
53,"State the most familiar color associated with the given animal."
54,"For the animal listed, say what color is typically tied to it."
55,"Provide the commonly known color for the animal in question."
56,"Identify the typical color tied to the mentioned animal."
57,"Tell the color typically recognized for the provided animal."
58,"Given an animal, state the hue most people associate with it."
59,"Mention the standard color linked to the named animal."
60,"Indicate the color most frequently identified with the given animal."
61,"State the usual coloration associated with the mentioned animal."
62,"For the supplied animal, name its commonly recognized color."
63,"Tell the primary color connected with the provided animal."
64,"Identify the most representative color for the named animal."
65,"Report the color ordinarily associated with the animal in question."
66,"Provide the color most often linked to the animal mentioned."
67,"Given any animal, specify the color typically related to it."
68,"Mention the common hue associated with the provided animal."
69,"Indicate the characteristic color of the named animal."
70,"State the usual tone linked with the animal in question."
71,"Tell what color is typically imagined for the given animal."
72,"Provide the color that best identifies the mentioned animal."
73,"For the supplied animal, note the color most often used to describe it."
74,"Identify the principal color associated with the provided animal."
75,"Name the color generally connected to the animal named."
76,"State the commonly perceived shade linked with the given animal."
77,"Given an animal, mention the color most normally associated with it."
78,"Provide the color most typically thought of for the stated animal."
79,"Tell the typical hue that corresponds to the animal in question."
80,"Indicate the usual color attributed to the given animal."
81,"Report the characteristic shade people link with the named animal."
82,"Provide the color that is most closely tied to the animal in question."
83,"For the animal supplied, mention the color most commonly linked to it."
84,"Tell which hue is normally associated with the provided animal."
85,"Say what color is customarily tied to the named animal."
86,"State the color commonly perceived for the given animal."
87,"Indicate the typical tone associated with the animal mentioned."
88,"When given an animal, identify its general associated color."
89,"Describe the color most people attach to the provided animal."
90,"Report the standard color people link to the named animal."
91,"Provide the color usually attributed to the stated animal."
92,"Tell the traditional hue associated with the given animal."
93,"Indicate the most often referenced color for the animal named."
94,"State the default hue connected with the provided animal."
95,"For the listed animal, identify its most characteristic color."
96,"Mention the commonly accepted color for the animal in question."
97,"Tell what shade is generally associated with the given animal."
98,"Provide the color that is typically related to the mentioned animal."
99,"Identify the color most frequently connected with the provided animal."
100,"State the most expected color tied to the given animal."
101,"When an animal is presented, list its generally recognized color."
102,"Indicate the hue normally associated with the named animal."
103,"Tell the primary shade connected with the given animal."
104,"Provide the color that is most often perceived for the animal mentioned."
105,"Given an animal, list the color typically tied to it."
106,"Mention the color that commonly represents the stated animal."
107,"Indicate the shade most commonly linked to the provided animal."
108,"Identify the typical hue associated with the named animal."
109,"State the most recognized color for the given animal."
110,"Tell the usual color people link with the animal provided."
111,"Provide the prevalent color associated with the stated animal."
112,"For the animal in question, name its most standard color."
113,"Indicate the characteristic hue people associate with the animal."
114,"State the most standard tone linked with the given animal."
115,"Mention the default shade connected to the named animal."
116,"Tell the usual hue associated with the provided animal."
117,"Provide the customary color tied to the named animal."
118,"Identify the color that most people associate with the animal listed."
119,"State the familiar tone people connect with the given animal."
120,"Given an animal, mention the hue most often attributed to it."
121,"Tell which color best characterizes the named animal."
122,"Provide the color that is generally tied to the stated animal."
123,"Indicate the usual shade associated with the given animal."
124,"Identify the typical coloration for the animal mentioned."
125,"State the hue typically related to the provided animal."
126,"Tell the most common tone connected with the stated animal."
127,"Mention the color generally perceived for the given animal."
128,"Provide the typical color connected to the named animal."
129,"Identify the shade most often linked with the given animal."
130,"State the predominant color associated with the provided animal."
131,"Tell what hue people commonly connect to the named animal."
132,"Provide the most identifiable color for the animal in question."
133,"Indicate the color usually tied to the given animal."
134,"Name the color most regularly associated with the mentioned animal."
135,"State the color traditionally linked with the given animal."
136,"Give the typical color that corresponds to the named animal."
137,"Mention the color most people think of for the provided animal."
138,"Indicate the usual hue people associate with the stated animal."
139,"Report the standard shade tied to the named animal."
140,"Provide the color customarily related to the given animal."
141,"Identify the hue most frequently tied to the listed animal."
142,"Tell the common tone associated with the provided animal."
143,"State the characteristic hue linked with the animal named."
144,"Given an animal, describe the color most often connected with it."
145,"Indicate the typical color that represents the provided animal."
146,"Name the usual shade tied to the stated animal."
147,"Provide the recognized color for the animal in question."
148,"Tell the default color people link with the mentioned animal."
149,"State the typical coloration associated with the given animal."
150,"Identify the ordinary color connected with the named animal."
151,"Mention the hue commonly linked to the provided animal."
152,"Provide the primary tone associated with the stated animal."
153,"Indicate the most typical color for the animal in question."
154,"Tell which shade is most commonly attributed to the given animal."
155,"State the common hue associated with the animal provided."
156,"Identify the usual shade people think of for the named animal."
157,"Provide the most frequent color tied to the stated animal."
158,"Tell the characteristic tone associated with the given animal."
159,"Mention the expected color people link with the named animal."
160,"Indicate the typical hue that is connected to the provided animal."
161,"State the most common coloration for the animal named."
162,"Tell which color normally represents the given animal."
163,"Provide the color often associated with the stated animal."
164,"Name the commonly recognized hue tied to the provided animal."
165,"Indicate the most natural color connected with the named animal."
166,"State the hue most people identify with the given animal."
167,"Tell the typical tone attributed to the stated animal."
168,"Provide the color people generally connect to the animal."
169,"Identify the most usual hue associated with the provided animal."
170,"State the shade most typically tied to the named animal."
171,"Mention the expected hue people associate with the given animal."
172,"Indicate the common color linked with the provided animal."
173,"Tell the usual color recognized for the stated animal."
174,"Provide the hue customarily associated with the named animal."
175,"Name the typical tone people attach to the given animal."
176,"State the color generally perceived for the animal mentioned."
177,"Tell which hue is most often tied to the provided animal."
178,"Provide the standard coloration associated with the named animal."
179,"Identify the usual tone linked with the given animal."
180,"Indicate the characteristic shade associated with the stated animal."
181,"State the prevalent hue people connect with the given animal."
182,"Tell the most traditional color associated with the provided animal."
183,"Provide the hue typically attributed to the named animal."
184,"Mention the standard color that corresponds to the given animal."
185,"Indicate the ordinary hue associated with the provided animal."
186,"State the usual shade people link with the stated animal."
187,"Tell what color is generally connected with the animal in question."
188,"Provide the commonly imagined color for the given animal."
189,"Identify the most characteristic shade linked with the named animal."
190,"Indicate the typical color people attribute to the provided animal."
191,"State the default hue associated with the stated animal."
192,"Tell the common coloration tied to the given animal."
193,"Provide the expected hue related to the named animal."
194,"Mention the color traditionally associated with the provided animal."
195,"Identify the usual color attributed to the stated animal."
196,"State the color most often expected for the given animal."
197,"Tell the hue that commonly represents the named animal."
198,"Provide the typical shade people associate with the provided animal."
199,"Indicate the color that is most widely connected to the given animal."
