index,instruction
0,"For any given animal, indicate whether it is capable of flight by answering 'yes' or 'no'."
1,"State 'yes' or 'no' depending on whether the provided animal can fly."
2,"Given an animal, report if it can fly using 'yes' or 'no'."
3,"Say 'yes' if the animal can fly, otherwise say 'no'."
4,"Determine if the animal is able to fly and output 'yes' or 'no'."
5,"Assess the flight ability of the animal and respond with 'yes' or 'no'."
6,"Identify whether the animal is capable of flight and print 'yes' or 'no'."
7,"Your task is to specify 'yes' or 'no' based on the animal's ability to fly."
8,"Indicate with 'yes' or 'no' whether the mentioned animal can fly."
9,"Evaluate the animal's flying ability and answer 'yes' or 'no'."
10,"Return 'yes' or 'no' depending on the flight capability of the animal."
11,"Output 'yes' if the animal flies, else 'no'."
12,"Judge whether the animal possesses the ability to fly and state 'yes' or 'no'."
13,"Respond with 'yes' or 'no' according to whether the animal can fly."
14,"For the given animal, specify if it flies by printing 'yes' or 'no'."
15,"Say 'yes' if the creature can fly; if not, say 'no'."
16,"Determine the flying capability of the animal and provide 'yes' or 'no'."
17,"Given an animal, classify it as flying ('yes') or non-flying ('no')."
18,"Mark the animal's flight ability with either 'yes' or 'no'."
19,"Check if the animal can fly and output 'yes' or 'no'."
20,"Indicate flight capability of the animal using 'yes' or 'no'."
21,"State plainly: can the animal fly? Respond 'yes' or 'no'."
22,"Provide 'yes' or 'no' based on the animal's ability to fly."
23,"Decide if the animal is capable of flight and print 'yes' or 'no'."
24,"Respond 'yes' if the animal flies; otherwise respond 'no'."
25,"Assess whether the creature can fly and answer with 'yes' or 'no'."
26,"Given any animal, state if it can fly using 'yes' or 'no'."
27,"Determine and output 'yes' or 'no' depending on whether the animal has the capability to fly."
28,"Tell whether the animal flies by using 'yes' or 'no'."
29,"For the animal provided, print 'yes' if it can fly and 'no' if it cannot."
30,"Indicate with a 'yes' or a 'no' if the specified animal is able to fly."
31,"Establish the flying capability of the animal and answer with 'yes' or 'no'."
32,"Use 'yes' or 'no' to show if the animal can fly."
33,"Say 'yes' when the animal is capable of flight; say 'no' otherwise."
34,"Provide a 'yes'/'no' reply regarding the animal's flight ability."
35,"Given an animal, determine if it flies and respond with 'yes' or 'no'."
36,"State simply 'yes' or 'no' to indicate whether the animal can fly."
37,"Evaluate whether the animal can fly and print the correct response: 'yes' or 'no'."
38,"Show whether the animal is flight-capable by answering 'yes' or 'no'."
39,"State 'yes' if the animal has the ability to fly; otherwise state 'no'."
40,"Give a 'yes' or 'no' answer based on the animal's flying capability."
41,"Identify if the animal flies, replying only with 'yes' or 'no'."
42,"Respond with 'yes' if the animal is a flyer; respond 'no' if not."
43,"Reveal whether the animal can fly by stating 'yes' or 'no'."
44,"Use 'yes' or 'no' to denote whether the creature has flight capability."
45,"Decide if flight applies to the animal and print 'yes' or 'no'."
46,"Tell whether the animal is capable of flight in a 'yes' or 'no' format."
47,"Issue a 'yes' or 'no' verdict regarding the animal's ability to fly."
48,"Reply 'yes' or 'no' depending on the flying nature of the animal."
49,"Given an animal, indicate if it flies via 'yes' or 'no'."
50,"Say whether the animal can take flight by answering 'yes' or 'no'."
51,"State 'yes' or 'no' after determining if the animal is capable of flying."
52,"Check for the animal's flight ability and print 'yes' or 'no'."
53,"Respond solely with 'yes' or 'no' to show if the animal can fly."
54,"Determine if flight is possible for the animal and answer 'yes' or 'no'."
55,"Declare 'yes' if the animal can fly; declare 'no' otherwise."
56,"Assess the animal and reply 'yes' or 'no' based on its ability to fly."
57,"Give 'yes' or 'no' as your judgment of the animal's flying ability."
58,"Use 'yes' or 'no' to clarify whether the animal can fly."
59,"State clearly whether the animal flies: 'yes' or 'no'."
60,"Identify flight capability of the given animal by outputting 'yes' or 'no'."
61,"Tell if the animal has the ability to fly with a 'yes' or a 'no'."
62,"Say 'yes' or 'no' depending on whether the creature flies."
63,"Provide a 'yes'/'no' indication of the animal's flight status."
64,"For the animal listed, determine if it flies and say 'yes' or 'no'."
65,"Give your answer—'yes' or 'no'—on the animal's ability to fly."
66,"Decide if the animal can take to the air and print 'yes' or 'no'."
67,"Output 'yes' or 'no' to represent the animal's flying ability."
68,"Convey whether the animal can fly by saying 'yes' or 'no'."
69,"Answer the question of flight for the animal using 'yes' or 'no'."
